Id,Date,Time (GMT),Temperature (C),Humidity (%),City Temperature (C),City Humidity (%), Clouds Value (%),Weather,Weather Description
1,02/01/2025,19:10:00,19.34,67.36,6.88,91,100,Clouds,overcast clouds
2,02/01/2025,19:20:00,18.94,69.00,6.88,91,100,Clouds,overcast clouds
3,02/01/2025,19:30:00,18.90,69.18,6.88,91,100,Clouds,overcast clouds
4,02/01/2025,19:40:00,18.80,70.00,6.88,91,100,Clouds,overcast clouds
5,02/01/2025,19:50:00,18.80,69.86,6.88,91,100,Clouds,overcast clouds
6,02/01/2025,20:00:00,18.69,69.00,6.88,91,100,Clouds,overcast clouds
7,02/01/2025,20:10:00,18.60,69.00,6.88,91,100,Clouds,overcast clouds
8,02/01/2025,20:20:00,18.64,70.38,6.84,89,100,Clouds,overcast clouds
9,02/01/2025,20:30:00,19.06,70.99,6.84,89,100,Clouds,overcast clouds
10,02/01/2025,20:40:00,19.49,71.00,6.84,89,100,Clouds,overcast clouds
11,02/01/2025,20:50:00,19.85,71.00,6.84,89,100,Clouds,overcast clouds
12,02/01/2025,21:00:00,20.22,71.00,6.84,89,100,Clouds,overcast clouds
13,02/01/2025,21:10:00,20.45,71.00,6.84,89,100,Clouds,overcast clouds
14,02/01/2025,21:20:00,20.17,71.21,6.84,89,100,Clouds,overcast clouds
15,02/01/2025,21:30:00,19.91,72.00,6.84,89,100,Clouds,overcast clouds
16,02/01/2025,21:40:00,19.73,72.00,6.84,89,100,Clouds,overcast clouds
17,02/01/2025,21:50:00,19.62,72.00,6.84,89,100,Clouds,overcast clouds
18,02/01/2025,22:00:00,19.48,72.72,6.68,89,100,Clouds,overcast clouds
19,02/01/2025,22:10:00,19.49,73.00,6.68,89,100,Clouds,overcast clouds
20,02/01/2025,22:20:00,19.90,72.40,6.68,89,100,Clouds,overcast clouds
21,02/01/2025,22:30:00,20.41,72.00,6.68,89,100,Clouds,overcast clouds
22,02/01/2025,22:40:00,20.70,71.99,6.68,89,100,Clouds,overcast clouds
23,02/01/2025,22:50:00,20.35,72.00,6.68,89,100,Clouds,overcast clouds
24,02/01/2025,23:00:00,20.09,72.00,6.31,88,100,Clouds,overcast clouds
25,02/01/2025,23:10:00,19.90,72.00,6.31,88,100,Clouds,overcast clouds
26,02/01/2025,23:20:00,19.76,72.00,6.31,88,100,Clouds,overcast clouds
27,02/01/2025,23:30:00,19.65,72.00,6.31,88,100,Clouds,overcast clouds
28,02/01/2025,23:40:00,19.51,72.00,6.31,88,100,Clouds,overcast clouds
29,02/02/2025,23:50:00,18.88,72.00,6.31,88,100,Clouds,overcast clouds
30,02/02/2025,00:00:00,18.85,72.07,5.91,86,100,Clouds,overcast clouds
31,02/02/2025,00:10:00,18.90,72.11,5.91,86,100,Clouds,overcast clouds
32,02/02/2025,00:20:00,18.84,72.03,5.91,86,100,Clouds,overcast clouds
33,02/02/2025,00:30:00,19.00,72.00,5.91,86,100,Clouds,overcast clouds
